A1KV2VPZ1TE6AJ:3OLF68YTNCTUHF8GKUOA7J45O4XFA4,initialized,0,,1563473063264
A1KV2VPZ1TE6AJ:3OLF68YTNCTUHF8GKUOA7J45O4XFA4,window_resize,0,"[1853, 1117]",1563473063264
A12V3KOVU7QSUC:39ZSFO5CABOU1Q8A9PWMMI8ROE6JUN,initialized,0,,1563473226750
A12V3KOVU7QSUC:39ZSFO5CABOU1Q8A9PWMMI8ROE6JUN,window_resize,0,"[1680, 911]",1563473226750
A12V3KOVU7QSUC:39ZSFO5CABOU1Q8A9PWMMI8ROE6JUN,focus,117864,off,1563473344614
A12V3KOVU7QSUC:39ZSFO5CABOU1Q8A9PWMMI8ROE6JUN,focus,3457,on,1563473348071
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,initialized,0,,1563473115687
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,window_resize,0,"[1631, 886]",1563473115687
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,616,on,1563473116303
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,window_resize,417,"[1374, 886]",1563473116720
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,22087,off,1563473138807
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,4,on,1563473138811
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,85588,off,1563473224399
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,0,on,1563473224399
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,26028,off,1563473250427
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,1,on,1563473250428
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,37573,off,1563473288001
A2541C8MY0BYV3:3TPWUS5F8CTKLGR9UXYBBK1XGHOCW3,focus,1,on,1563473288002
